Gene,MainType,Age,mean,std,count,percent_expressing
Neurod2,Neuroblasts,9.0,0.48,0.54,3,100.0
Neurod2,Neuroblasts,10.0,1.048,1.354,9,88.889
Neurod2,Neuroblasts,11.0,0.454,1.012,8,50.0
Neurod2,Neuroblasts,12.0,1.209,1.493,5,100.0
Neurod2,Neuroblasts,12.5,0.906,1.035,20,95.0
Neurod2,Neuroblasts,13.0,0.573,0.981,17,94.118
Neurod2,Neuroblasts,13.5,0.522,0.891,7,71.429
Neurod2,Neuroblasts,14.0,1.216,2.267,4,100.0
Neurod2,Neuroblasts,14.5,1.046,1.248,10,100.0
Neurod2,Neuroblasts,15.0,0.602,0.955,8,100.0
Neurod2,Neuroblasts,15.5,1.259,2.507,8,75.0
Neurod2,Neuroblasts,16.0,1.172,1.43,10,100.0
Neurod2,Neuroblasts,16.25,1.548,0.695,2,100.0
Neurod2,Neuroblasts,16.5,0.101,0.175,4,75.0
Neurod2,Neuroblasts,17.0,2.041,3.281,3,100.0
Neurod2,Neuroblasts,17.5,1.031,0.18,2,100.0
Neurod2,Neuroblasts,18.0,0.091,,1,100.0
Neurod2,Neurons,10.0,0.096,0.15,16,87.5
Neurod2,Neurons,11.0,1.061,1.962,19,94.737
Neurod2,Neurons,12.0,1.254,1.953,27,85.185
Neurod2,Neurons,12.5,1.039,1.518,33,87.879
Neurod2,Neurons,13.0,1.645,1.912,14,78.571
Neurod2,Neurons,13.5,1.23,1.218,13,84.615
Neurod2,Neurons,14.0,0.432,0.917,20,85.0
Neurod2,Neurons,14.5,0.864,1.239,13,92.308
Neurod2,Neurons,15.0,0.667,1.567,17,94.118
Neurod2,Neurons,15.5,0.635,1.605,10,90.0
Neurod2,Neurons,16.0,1.087,1.731,7,100.0
Neurod2,Neurons,16.25,0.234,0.372,7,85.714
Neurod2,Neurons,16.5,0.119,0.143,11,100.0
Neurod2,Neurons,17.0,0.384,0.472,5,100.0
Neurod2,Neurons,17.5,0.181,0.325,6,100.0
Neurod2,Neurons,18.0,1.102,2.383,5,60.0
Neurod2,OPCs,12.0,0.01,0.003,4,100.0
Neurod2,OPCs,12.5,0.009,,1,100.0
Neurod2,OPCs,13.0,0.0,,1,0.0
Neurod2,OPCs,13.5,0.008,0.012,2,50.0
Neurod2,OPCs,14.0,0.0,,1,0.0
Neurod2,OPCs,16.0,0.2,,1,100.0
Neurod2,Radial glia,8.0,0.003,,1,100.0
Neurod2,Radial glia,10.0,0.001,0.001,3,33.333
Neurod2,Radial glia,11.0,0.046,0.021,4,100.0
Neurod2,Radial glia,12.0,0.021,0.039,7,42.857
Neurod2,Radial glia,12.5,0.003,0.008,9,22.222
Neurod2,Radial glia,13.0,0.021,0.028,9,66.667
Neurod2,Radial glia,13.5,0.031,0.068,5,60.0
Neurod2,Radial glia,14.0,0.005,0.003,5,80.0
Neurod2,Radial glia,14.5,0.005,0.01,4,25.0
Neurod2,Radial glia,15.0,0.001,0.002,4,25.0
Neurod2,Radial glia,15.5,0.015,0.017,4,75.0
Neurod2,Radial glia,16.0,0.031,0.037,3,66.667
Neurod2,Radial glia,16.25,0.012,0.001,2,100.0
Neurod2,Radial glia,16.5,0.035,0.026,2,100.0
Neurod2,Radial glia,17.0,0.018,0.026,4,50.0
Neurod2,Radial glia,17.5,0.044,0.065,3,66.667
Neurog2,Glioblasts,11.0,0.228,0.403,4,75.0
Neurog2,Glioblasts,12.0,0.104,0.116,4,100.0
Neurog2,Glioblasts,12.5,0.291,0.401,2,100.0
Neurog2,Glioblasts,13.0,0.077,0.068,3,100.0
Neurog2,Glioblasts,14.0,0.043,0.019,2,100.0
Neurog2,Glioblasts,14.5,0.052,,1,100.0
Neurog2,Glioblasts,15.0,0.051,,1,100.0
Neurog2,Glioblasts,15.5,0.004,,1,100.0
Neurog2,Glioblasts,16.5,0.184,,1,100.0
Neurog2,Neuroblasts,8.5,1.65,1.063,4,100.0
Neurog2,Neuroblasts,9.0,2.097,1.816,3,100.0
Neurog2,Neuroblasts,10.0,1.851,2.153,9,100.0
Neurog2,Neuroblasts,11.0,0.664,0.751,8,100.0
Neurog2,Neuroblasts,12.0,0.898,1.194,5,100.0
Neurog2,Neuroblasts,12.5,1.221,2.177,20,90.0
Neurog2,Neuroblasts,13.0,1.811,4.122,17,94.118
Neurog2,Neuroblasts,13.5,0.128,0.191,7,100.0
Neurog2,Neuroblasts,14.0,3.102,3.058,4,100.0
Neurog2,Neuroblasts,14.5,2.599,3.422,10,100.0
Neurog2,Neuroblasts,15.0,3.15,3.943,8,87.5
Neurog2,Neuroblasts,15.5,1.041,1.542,8,75.0
Neurog2,Neuroblasts,16.0,4.548,4.084,10,100.0
Neurog2,Neuroblasts,16.25,7.847,7.243,2,100.0
Neurog2,Neuroblasts,16.5,0.478,0.235,4,100.0
Neurog2,Neuroblasts,17.0,1.182,0.918,3,100.0
Neurog2,Neuroblasts,17.5,9.155,8.12,2,100.0
Neurog2,Neuroblasts,18.0,0.636,,1,100.0
Neurog2,Neurons,10.0,0.169,0.289,16,93.75
Neurog2,Neurons,11.0,0.111,0.142,19,94.737
Neurog2,Neurons,12.0,0.087,0.123,27,77.778
Neurog2,Neurons,12.5,0.144,0.171,33,90.909
Neurog2,Neurons,13.0,0.141,0.251,14,78.571
Neurog2,Neurons,13.5,0.229,0.514,13,92.308
Neurog2,Neurons,14.0,0.14,0.264,20,80.0
Neurog2,Neurons,14.5,0.07,0.08,13,76.923
Neurog2,Neurons,15.0,0.188,0.363,17,94.118
Neurog2,Neurons,15.5,0.258,0.567,10,80.0
Neurog2,Neurons,16.0,0.041,0.06,7,57.143
Neurog2,Neurons,16.25,0.014,0.019,7,71.429
Neurog2,Neurons,16.5,0.161,0.256,11,100.0
Neurog2,Neurons,17.0,0.414,0.63,5,80.0
Neurog2,Neurons,17.5,0.226,0.509,6,83.333
Neurog2,Neurons,18.0,0.104,0.111,5,80.0
Neurog2,OPCs,12.0,0.019,0.031,4,75.0
Neurog2,OPCs,12.5,0.196,,1,100.0
Neurog2,OPCs,13.0,0.0,,1,0.0
Neurog2,OPCs,13.5,0.032,0.042,2,100.0
Neurog2,OPCs,14.0,0.0,,1,0.0
Neurog2,OPCs,16.0,0.0,,1,0.0
Neurog2,Radial glia,8.0,0.012,,1,100.0
Neurog2,Radial glia,10.0,0.109,0.095,3,66.667
Neurog2,Radial glia,11.0,1.349,1.362,4,100.0
Neurog2,Radial glia,12.0,0.602,1.184,7,100.0
Neurog2,Radial glia,12.5,0.091,0.067,9,100.0
Neurog2,Radial glia,13.0,0.621,0.864,9,88.889
Neurog2,Radial glia,13.5,1.4,1.703,5,100.0
Neurog2,Radial glia,14.0,0.273,0.353,5,80.0
Neurog2,Radial glia,14.5,0.019,0.022,4,50.0
Neurog2,Radial glia,15.0,0.202,0.196,4,100.0
Neurog2,Radial glia,15.5,0.412,0.45,4,75.0
Neurog2,Radial glia,16.0,0.467,0.556,3,100.0
Neurog2,Radial glia,16.25,1.35,0.154,2,100.0
Neurog2,Radial glia,16.5,1.866,1.027,2,100.0
Neurog2,Radial glia,17.0,0.308,0.457,4,50.0
Neurog2,Radial glia,17.5,0.69,0.739,3,100.0
Olig2,Glioblasts,11.0,0.668,1.16,4,100.0
Olig2,Glioblasts,12.0,0.55,0.742,4,100.0
Olig2,Glioblasts,12.5,0.268,0.352,2,100.0
Olig2,Glioblasts,13.0,0.111,0.07,3,100.0
Olig2,Glioblasts,14.0,0.427,0.099,2,100.0
Olig2,Glioblasts,14.5,0.328,,1,100.0
Olig2,Glioblasts,15.0,0.76,,1,100.0
Olig2,Glioblasts,15.5,0.157,,1,100.0
Olig2,Glioblasts,16.5,0.259,,1,100.0
Olig2,Neuroblasts,8.5,0.022,0.027,4,50.0
Olig2,Neuroblasts,9.0,0.177,0.166,3,66.667
Olig2,Neuroblasts,10.0,0.094,0.098,9,88.889
Olig2,Neuroblasts,11.0,0.032,0.058,8,75.0
Olig2,Neuroblasts,12.0,0.075,0.125,5,60.0
Olig2,Neuroblasts,12.5,0.049,0.088,20,70.0
Olig2,Neuroblasts,13.0,0.052,0.063,17,88.235
Olig2,Neuroblasts,13.5,0.084,0.174,7,71.429
Olig2,Neuroblasts,14.0,0.057,0.03,4,100.0
Olig2,Neuroblasts,14.5,0.071,0.09,10,70.0
Olig2,Neuroblasts,15.0,0.271,0.396,8,87.5
Olig2,Neuroblasts,15.5,0.036,0.048,8,75.0
Olig2,Neuroblasts,16.0,0.051,0.101,10,90.0
Olig2,Neuroblasts,16.25,0.024,0.013,2,100.0
Olig2,Neuroblasts,16.5,0.096,0.171,4,50.0
Olig2,Neuroblasts,17.0,0.006,0.011,3,33.333
Olig2,Neuroblasts,17.5,0.042,0.039,2,100.0
Olig2,Neuroblasts,18.0,0.818,,1,100.0
Olig2,Neurons,10.0,0.01,0.027,16,37.5
Olig2,Neurons,11.0,0.007,0.013,19,68.421
Olig2,Neurons,12.0,0.004,0.012,27,22.222
Olig2,Neurons,12.5,0.003,0.005,33,30.303
Olig2,Neurons,13.0,0.002,0.004,14,50.0
Olig2,Neurons,13.5,0.01,0.019,13,46.154
Olig2,Neurons,14.0,0.005,0.012,20,35.0
Olig2,Neurons,14.5,0.002,0.003,13,38.462
Olig2,Neurons,15.0,0.026,0.092,17,41.176
Olig2,Neurons,15.5,0.005,0.01,10,30.0
Olig2,Neurons,16.0,0.0,0.001,7,14.286
Olig2,Neurons,16.25,0.008,0.008,7,71.429
Olig2,Neurons,16.5,0.005,0.005,11,63.636
Olig2,Neurons,17.0,0.005,0.01,5,40.0
Olig2,Neurons,17.5,0.006,0.008,6,50.0
Olig2,Neurons,18.0,0.001,0.001,5,40.0
Olig2,OPCs,12.0,2.962,0.253,4,100.0
Olig2,OPCs,12.5,2.236,,1,100.0
Olig2,OPCs,13.0,3.274,,1,100.0
Olig2,OPCs,13.5,2.688,0.366,2,100.0
Olig2,OPCs,14.0,2.0,,1,100.0
Olig2,OPCs,16.0,3.0,,1,100.0
Olig2,Radial glia,8.0,0.04,,1,100.0
Olig2,Radial glia,10.0,0.014,0.006,3,100.0
Olig2,Radial glia,11.0,0.055,0.084,4,100.0
Olig2,Radial glia,12.0,0.031,0.063,7,57.143
Olig2,Radial glia,12.5,0.045,0.062,9,66.667
Olig2,Radial glia,13.0,0.041,0.069,9,66.667
Olig2,Radial glia,13.5,0.016,0.007,5,100.0
Olig2,Radial glia,14.0,0.18,0.226,5,100.0
Olig2,Radial glia,14.5,0.128,0.213,4,75.0
Olig2,Radial glia,15.0,0.085,0.091,4,75.0
Olig2,Radial glia,15.5,0.038,0.047,4,75.0
Olig2,Radial glia,16.0,0.114,0.099,3,100.0
Olig2,Radial glia,16.25,0.015,0.017,2,100.0
Olig2,Radial glia,16.5,0.063,0.076,2,100.0
Olig2,Radial glia,17.0,0.02,0.022,4,75.0
Olig2,Radial glia,17.5,0.061,0.013,3,100.0
Pax6,Glioblasts,11.0,0.976,0.559,4,100.0
Pax6,Glioblasts,12.0,1.288,0.704,4,100.0
Pax6,Glioblasts,12.5,0.507,0.591,2,100.0
Pax6,Glioblasts,13.0,0.3,0.141,3,100.0
Pax6,Glioblasts,14.0,0.363,0.284,2,100.0
Pax6,Glioblasts,14.5,0.738,,1,100.0
Pax6,Glioblasts,15.0,0.767,,1,100.0
Pax6,Glioblasts,15.5,0.401,,1,100.0
Pax6,Glioblasts,16.5,1.231,,1,100.0
Pax6,Neuroblasts,8.5,0.265,0.244,4,100.0
Pax6,Neuroblasts,9.0,0.472,0.488,3,100.0
Pax6,Neuroblasts,10.0,0.247,0.159,9,100.0
Pax6,Neuroblasts,11.0,1.025,1.239,8,100.0
Pax6,Neuroblasts,12.0,1.13,0.984,5,100.0
Pax6,Neuroblasts,12.5,0.692,1.388,20,90.0
Pax6,Neuroblasts,13.0,0.586,1.04,17,94.118
Pax6,Neuroblasts,13.5,0.983,1.457,7,100.0
Pax6,Neuroblasts,14.0,0.525,0.233,4,100.0
Pax6,Neuroblasts,14.5,0.563,0.767,10,80.0
Pax6,Neuroblasts,15.0,0.92,1.527,8,87.5
Pax6,Neuroblasts,15.5,1.083,1.39,8,100.0
Pax6,Neuroblasts,16.0,0.501,0.388,10,100.0
Pax6,Neuroblasts,16.25,0.62,0.392,2,100.0
Pax6,Neuroblasts,16.5,0.23,0.164,4,100.0
Pax6,Neuroblasts,17.0,0.109,0.087,3,100.0
Pax6,Neuroblasts,17.5,0.505,0.578,2,100.0
Pax6,Neuroblasts,18.0,0.364,,1,100.0
Pax6,Neurons,10.0,0.439,1.24,16,87.5
Pax6,Neurons,11.0,0.535,1.139,19,94.737
Pax6,Neurons,12.0,0.069,0.209,27,66.667
Pax6,Neurons,12.5,0.084,0.127,33,93.939
Pax6,Neurons,13.0,0.545,1.933,14,78.571
Pax6,Neurons,13.5,0.924,1.456,13,84.615
Pax6,Neurons,14.0,0.472,1.096,20,85.0
Pax6,Neurons,14.5,0.343,0.855,13,100.0
Pax6,Neurons,15.0,0.252,0.689,17,94.118
Pax6,Neurons,15.5,0.46,1.176,10,90.0
Pax6,Neurons,16.0,0.316,0.479,7,85.714
Pax6,Neurons,16.25,0.267,0.439,7,85.714
Pax6,Neurons,16.5,0.741,1.566,11,81.818
Pax6,Neurons,17.0,0.034,0.049,5,80.0
Pax6,Neurons,17.5,0.409,0.587,6,100.0
Pax6,Neurons,18.0,0.085,0.143,5,80.0
Pax6,OPCs,12.0,0.068,0.034,4,100.0
Pax6,OPCs,12.5,0.298,,1,100.0
Pax6,OPCs,13.0,0.148,,1,100.0
Pax6,OPCs,13.5,0.221,0.276,2,100.0
Pax6,OPCs,14.0,0.5,,1,100.0
Pax6,OPCs,16.0,0.2,,1,100.0
Pax6,Radial glia,8.0,0.478,,1,100.0
Pax6,Radial glia,10.0,0.272,0.416,3,66.667
Pax6,Radial glia,11.0,1.747,0.689,4,100.0
Pax6,Radial glia,12.0,0.674,1.001,7,100.0
Pax6,Radial glia,12.5,0.436,0.507,9,88.889
Pax6,Radial glia,13.0,0.656,0.558,9,100.0
Pax6,Radial glia,13.5,1.083,0.764,5,100.0
Pax6,Radial glia,14.0,0.586,0.702,5,100.0
Pax6,Radial glia,14.5,0.642,0.937,4,75.0
Pax6,Radial glia,15.0,0.431,0.484,4,100.0
Pax6,Radial glia,15.5,0.584,0.599,4,100.0
Pax6,Radial glia,16.0,1.095,0.173,3,100.0
Pax6,Radial glia,16.25,2.068,0.58,2,100.0
Pax6,Radial glia,16.5,1.468,0.712,2,100.0
Pax6,Radial glia,17.0,0.791,0.627,4,100.0
Pax6,Radial glia,17.5,0.883,0.185,3,100.0
Sox10,Glioblasts,11.0,0.01,0.015,4,50.0
Sox10,Glioblasts,12.0,0.006,0.009,4,75.0
Sox10,Glioblasts,12.5,0.0,0.0,2,0.0
Sox10,Glioblasts,13.0,0.004,0.004,3,66.667
Sox10,Glioblasts,14.0,0.0,0.0,2,0.0
Sox10,Glioblasts,14.5,0.005,,1,100.0
Sox10,Glioblasts,15.0,0.0,,1,0.0
Sox10,Glioblasts,15.5,0.0,,1,0.0
Sox10,Glioblasts,16.5,0.007,,1,100.0
Sox10,Neuroblasts,8.5,0.012,0.015,4,50.0
Sox10,Neuroblasts,9.0,0.018,0.015,3,100.0
Sox10,Neuroblasts,10.0,0.008,0.015,9,22.222
Sox10,Neuroblasts,11.0,0.018,0.046,8,25.0
Sox10,Neuroblasts,12.0,0.011,0.018,5,60.0
Sox10,Neuroblasts,12.5,0.0,0.002,20,5.0
Sox10,Neuroblasts,13.0,0.001,0.003,17,17.647
Sox10,Neuroblasts,13.5,0.002,0.006,7,14.286
Sox10,Neuroblasts,14.0,0.001,0.002,4,25.0
Sox10,Neuroblasts,14.5,0.002,0.005,10,10.0
Sox10,Neuroblasts,15.0,0.002,0.003,8,25.0
Sox10,Neuroblasts,15.5,0.0,0.001,8,12.5
Sox10,Neuroblasts,16.0,0.001,0.002,10,20.0
Sox10,Neuroblasts,16.25,0.0,0.0,2,0.0
Sox10,Neuroblasts,16.5,0.004,0.006,4,50.0
Sox10,Neuroblasts,17.0,0.002,0.003,3,33.333
Sox10,Neuroblasts,17.5,0.0,0.0,2,0.0
Sox10,Neuroblasts,18.0,0.0,,1,0.0
Sox10,Neurons,10.0,0.004,0.017,16,18.75
Sox10,Neurons,11.0,0.0,0.001,19,10.526
Sox10,Neurons,12.0,0.0,0.001,27,11.111
Sox10,Neurons,12.5,0.001,0.003,33,15.152
Sox10,Neurons,13.0,0.135,0.503,14,28.571
Sox10,Neurons,13.5,0.0,0.001,13,7.692
Sox10,Neurons,14.0,0.0,0.0,20,0.0
Sox10,Neurons,14.5,0.001,0.003,13,23.077
Sox10,Neurons,15.0,0.0,0.0,17,0.0
Sox10,Neurons,15.5,0.002,0.004,10,20.0
Sox10,Neurons,16.0,0.0,0.001,7,14.286
Sox10,Neurons,16.25,0.001,0.003,7,42.857
Sox10,Neurons,16.5,0.0,0.001,11,9.091
Sox10,Neurons,17.0,0.0,0.0,5,0.0
Sox10,Neurons,17.5,0.0,0.0,6,0.0
Sox10,Neurons,18.0,0.0,0.0,5,0.0
Sox10,OPCs,12.0,0.792,0.432,4,100.0
Sox10,OPCs,12.5,0.036,,1,100.0
Sox10,OPCs,13.0,1.338,,1,100.0
Sox10,OPCs,13.5,0.533,0.591,2,100.0
Sox10,OPCs,14.0,0.75,,1,100.0
Sox10,OPCs,16.0,0.733,,1,100.0
Sox10,Radial glia,8.0,0.0,,1,0.0
Sox10,Radial glia,10.0,0.01,0.016,3,66.667
Sox10,Radial glia,11.0,0.001,0.002,4,25.0
Sox10,Radial glia,12.0,0.003,0.009,7,14.286
Sox10,Radial glia,12.5,0.005,0.006,9,55.556
Sox10,Radial glia,13.0,0.002,0.004,9,33.333
Sox10,Radial glia,13.5,0.005,0.006,5,60.0
Sox10,Radial glia,14.0,0.041,0.076,5,80.0
Sox10,Radial glia,14.5,0.001,0.001,4,25.0
Sox10,Radial glia,15.0,0.003,0.005,4,25.0
Sox10,Radial glia,15.5,0.001,0.001,4,25.0
Sox10,Radial glia,16.0,0.004,0.005,3,66.667
Sox10,Radial glia,16.25,0.0,0.0,2,0.0
Sox10,Radial glia,16.5,0.004,0.006,2,50.0
Sox10,Radial glia,17.0,0.0,0.0,4,0.0
Sox10,Radial glia,17.5,0.001,0.002,3,33.333
Sox2,Glioblasts,11.0,0.818,0.162,4,100.0
Sox2,Glioblasts,12.0,1.07,0.167,4,100.0
Sox2,Glioblasts,12.5,0.777,0.014,2,100.0
Sox2,Glioblasts,13.0,0.965,0.258,3,100.0
Sox2,Glioblasts,14.0,1.003,0.106,2,100.0
Sox2,Glioblasts,14.5,0.815,,1,100.0
Sox2,Glioblasts,15.0,1.251,,1,100.0
Sox2,Glioblasts,15.5,0.88,,1,100.0
Sox2,Glioblasts,16.5,0.721,,1,100.0
Sox2,Neuroblasts,8.5,0.278,0.288,4,75.0
Sox2,Neuroblasts,9.0,0.463,0.281,3,100.0
Sox2,Neuroblasts,10.0,0.303,0.294,9,100.0
Sox2,Neuroblasts,11.0,0.225,0.098,8,100.0
Sox2,Neuroblasts,12.0,0.22,0.176,5,100.0
Sox2,Neuroblasts,12.5,0.072,0.098,20,85.0
Sox2,Neuroblasts,13.0,0.174,0.204,17,88.235
Sox2,Neuroblasts,13.5,0.093,0.084,7,100.0
Sox2,Neuroblasts,14.0,0.353,0.24,4,100.0
Sox2,Neuroblasts,14.5,0.159,0.147,10,90.0
Sox2,Neuroblasts,15.0,0.215,0.268,8,62.5
Sox2,Neuroblasts,15.5,0.139,0.146,8,100.0
Sox2,Neuroblasts,16.0,0.229,0.128,10,100.0
Sox2,Neuroblasts,16.25,0.166,0.18,2,100.0
Sox2,Neuroblasts,16.5,0.227,0.234,4,100.0
Sox2,Neuroblasts,17.0,0.067,0.068,3,100.0
Sox2,Neuroblasts,17.5,0.129,0.112,2,100.0
Sox2,Neuroblasts,18.0,0.545,,1,100.0
Sox2,Neurons,10.0,0.055,0.066,16,81.25
Sox2,Neurons,11.0,0.101,0.111,19,100.0
Sox2,Neurons,12.0,0.069,0.13,27,74.074
Sox2,Neurons,12.5,0.097,0.196,33,87.879
Sox2,Neurons,13.0,0.041,0.071,14,92.857
Sox2,Neurons,13.5,0.01,0.021,13,53.846
Sox2,Neurons,14.0,0.149,0.194,20,75.0
Sox2,Neurons,14.5,0.006,0.007,13,69.231
Sox2,Neurons,15.0,0.105,0.177,17,76.471
Sox2,Neurons,15.5,0.129,0.187,10,80.0
Sox2,Neurons,16.0,0.103,0.112,7,71.429
Sox2,Neurons,16.25,0.104,0.118,7,85.714
Sox2,Neurons,16.5,0.064,0.124,11,72.727
Sox2,Neurons,17.0,0.109,0.237,5,60.0
Sox2,Neurons,17.5,0.063,0.045,6,100.0
Sox2,Neurons,18.0,0.083,0.163,5,60.0
Sox2,OPCs,12.0,0.372,0.154,4,100.0
Sox2,OPCs,12.5,0.68,,1,100.0
Sox2,OPCs,13.0,0.717,,1,100.0
Sox2,OPCs,13.5,0.587,0.347,2,100.0
Sox2,OPCs,14.0,0.85,,1,100.0
Sox2,OPCs,16.0,0.2,,1,100.0
Sox2,Radial glia,8.0,0.68,,1,100.0
Sox2,Radial glia,10.0,0.873,0.432,3,100.0
Sox2,Radial glia,11.0,0.684,0.197,4,100.0
Sox2,Radial glia,12.0,0.756,0.255,7,100.0
Sox2,Radial glia,12.5,0.819,0.258,9,100.0
Sox2,Radial glia,13.0,0.925,0.49,9,100.0
Sox2,Radial glia,13.5,0.937,0.299,5,100.0
Sox2,Radial glia,14.0,0.707,0.251,5,100.0
Sox2,Radial glia,14.5,0.681,0.171,4,100.0
Sox2,Radial glia,15.0,0.744,0.21,4,100.0
Sox2,Radial glia,15.5,0.782,0.202,4,100.0
Sox2,Radial glia,16.0,0.855,0.161,3,100.0
Sox2,Radial glia,16.25,0.855,0.148,2,100.0
Sox2,Radial glia,16.5,0.748,0.094,2,100.0
Sox2,Radial glia,17.0,0.909,0.184,4,100.0
Sox2,Radial glia,17.5,0.81,0.147,3,100.0
Srrm3,Glioblasts,11.0,0.01,0.006,4,100.0
Srrm3,Glioblasts,12.0,0.008,0.002,4,100.0
Srrm3,Glioblasts,12.5,0.014,0.015,2,100.0
Srrm3,Glioblasts,13.0,0.012,0.015,3,66.667
Srrm3,Glioblasts,14.0,0.002,0.002,2,50.0
Srrm3,Glioblasts,14.5,0.005,,1,100.0
Srrm3,Glioblasts,15.0,0.022,,1,100.0
Srrm3,Glioblasts,15.5,0.0,,1,0.0
Srrm3,Glioblasts,16.5,0.014,,1,100.0
Srrm3,Neuroblasts,8.5,0.673,0.487,4,100.0
Srrm3,Neuroblasts,9.0,0.559,0.288,3,100.0
Srrm3,Neuroblasts,10.0,0.576,0.662,9,100.0
Srrm3,Neuroblasts,11.0,0.644,0.961,8,100.0
Srrm3,Neuroblasts,12.0,0.719,0.433,5,100.0
Srrm3,Neuroblasts,12.5,0.83,0.516,20,100.0
Srrm3,Neuroblasts,13.0,0.756,0.733,17,94.118
Srrm3,Neuroblasts,13.5,1.132,1.104,7,100.0
Srrm3,Neuroblasts,14.0,0.316,0.121,4,100.0
Srrm3,Neuroblasts,14.5,0.668,0.495,10,100.0
Srrm3,Neuroblasts,15.0,0.677,0.692,8,100.0
Srrm3,Neuroblasts,15.5,0.65,0.721,8,100.0
